CommunicationID,Message,SenderID,ReceiverID
"119b2cbd-d57c-4b2c-bd8d-cf9737fe50d4","hi admin","4","1"
"889299d5-b2c9-4b20-833e-96088cab11a2","fuck u admin'","1","4"
"4da1e280-7f2c-4fbf-88ea-2d0f4326025c","hi bro","4","1"
"47f04c27-993b-4db1-92eb-9dbfea2b0d14","fuck u","4","1"
"d68a810d-2b4b-4ee1-98c6-303e656c09d0","hello bro","4","1"
"4333cdab-c732-49e8-9ab4-20d60f528cfc","testing","4","1"
"41237462-2393-4a80-b509-335a9b5b18db","te","4","1"
"ba7a7d33-65bd-4d36-964e-9cea762c10f5","talk to mah self","4","4"
"93b609a6-b405-4758-adca-fa7c5110c914","dem","4","1"
"f7fdd50f-8917-4db6-b89d-0d195b76b781","lol bro","4","4"
"66f13a40-5df0-4ed2-bdd2-ee6c4407197c","hi","4","TP005"
"5fee80f1-ea61-4b2e-a438-91d38d97c54e","first time","4","3"
